Date,E-waste (kt) per Year
2018/11/25,10.07825795
2018/11/26,10.00117424
2018/11/27,9.941951453
2018/11/28,9.857519326
2018/11/29,9.788573613
2018/11/30,9.780475201
2018/12/01,9.725896742
2018/12/02,9.647503172
2018/12/03,9.455677997
2018/12/04,9.361589376
2018/12/05,9.301790015
2018/12/06,9.061974053
2018/12/07,8.878691702
2018/12/08,8.779688797
2018/12/09,8.778761681
2018/12/10,8.770209694
2018/12/11,8.605244408
2018/12/12,8.434088596
2018/12/13,8.503302474
2018/12/14,8.506609681
2018/12/15,8.468208184
2018/12/16,8.471400883
2018/12/17,8.619756897
2018/12/18,8.790781243
2018/12/19,8.896387181
2018/12/20,8.941382248
2018/12/21,8.946403124
2018/12/22,8.988384938
2018/12/23,8.928833357
2018/12/24,8.851022497
2018/12/25,8.878148634
2018/12/26,9.029056787
2018/12/27,9.205344632
2018/12/28,9.346360916
2018/12/29,9.488469114
2018/12/30,9.706136319
2018/12/31,9.865780185
2019/1/01,9.874202251
2019/1/02,9.797744752
2019/1/03,9.834826582
2019/1/04,9.946102472
2019/1/05,9.98712203
2019/1/06,10.02827321
2019/1/07,10.12383009
2019/1/08,10.08686756
2019/1/09,10.15475185
2019/1/10,10.09509507
2019/1/11,10.09718677
2019/1/12,10.195329
2019/1/13,10.21803375
2019/1/14,10.15410702
2019/1/15,10.12853235
2019/1/16,10.08265495
2019/1/17,10.06583958
2019/1/18,9.983500379
2019/1/19,9.800503987
2019/1/20,9.600691854
2019/1/21,9.457619799
2019/1/22,9.450195525
2019/1/23,9.529728726
2019/1/24,9.594840769
2019/1/25,9.637297815
2019/1/26,9.749228645
2019/1/27,9.96025959
2019/1/28,10.07764806
2019/1/29,10.07604471
2019/1/30,10.018151
2019/1/31,10.0008516
2019/2/01,9.996099641
2019/2/02,9.958420481
2019/2/03,9.921020787
2019/2/04,9.960457291
2019/2/05,10.01612869
2019/2/06,10.03659333
2019/2/07,10.02488801
2019/2/08,10.11711049
2019/2/09,10.27098188
2019/2/10,10.45524097
2019/2/11,10.5218936
2019/2/12,10.52407199
2019/2/13,10.54702318
2019/2/14,10.49072897
2019/2/15,10.35414129
2019/2/16,10.21524381
2019/2/17,9.961939267
2019/2/18,9.816963222
2019/2/19,9.750842445
2019/2/20,9.794338376
2019/2/21,9.933447098
2019/2/22,9.966361469
2019/2/23,9.8718732
2019/2/24,9.78992362
2019/2/25,9.791370752
2019/2/26,9.769081366
2019/2/27,9.634603014
2019/2/28,9.424647638
2019/3/01,9.34480262
2019/3/02,9.391439693
2019/3/03,9.509936249
2019/3/04,9.552943567
2019/3/05,9.566421581
2019/3/06,9.490576834
2019/3/07,9.44458598
2019/3/08,9.349427598
2019/3/09,9.217613095
2019/3/10,9.055952344
2019/3/11,8.905854959
2019/3/12,8.807469807
2019/3/13,8.74186581
2019/3/14,8.738475974
2019/3/15,8.686771477
2019/3/16,8.683622535
2019/3/17,8.725044362
2019/3/18,8.805415411
2019/3/19,8.91582246
2019/3/20,9.009702327
2019/3/21,9.104494977
2019/3/22,9.260047235
2019/3/23,9.357360625
2019/3/24,9.389537765
2019/3/25,9.323703811
2019/3/26,9.309124479
2019/3/27,9.276982661
2019/3/28,9.190993411
2019/3/29,9.092848017
2019/3/30,9.006344753
2019/3/31,8.939714649
2019/4/01,8.903357269
2019/4/02,8.129719781
2019/4/03,8.667378042
2019/4/04,8.739148386
2019/4/05,8.905027739
2019/4/06,9.164260067
2019/4/07,8.981610611
2019/4/08,8.946433226
2019/4/09,8.919804329
2019/4/10,8.861949572
2019/4/11,8.675846918
2019/4/12,8.475992656
2019/4/13,8.197317035
2019/4/14,8.352302952
2019/4/15,8.349773269
2019/4/16,8.295830753
2019/4/17,8.205452412
2019/4/18,8.150297943
2019/4/19,8.060449295
2019/4/20,7.995491749
2019/4/21,7.917831557
2019/4/22,7.858044007
2019/4/23,7.901009065
2019/4/24,7.979992336
2019/4/25,7.975165954
2019/4/26,7.910579944
2019/4/27,7.858258969
2019/4/28,7.854254649
2019/4/29,7.882816796
2019/4/30,7.76851304
2019/5/01,7.635674796
2019/5/02,7.697471531
2019/5/03,7.87804034
2019/5/04,8.170126715
2019/5/05,8.191469131
2019/5/06,8.161083415
2019/5/07,8.245253335
2019/5/08,8.352490497
2019/5/09,8.262423662
2019/5/10,8.131873714
2019/5/11,7.849914602
2019/5/12,7.76990214
2019/5/13,7.674141267
2019/5/14,7.601479232
2019/5/15,7.626801949
2019/5/16,7.769123381
2019/5/17,7.817192606
2019/5/18,7.864389029
2019/5/19,7.885739418
2019/5/20,7.93546294
2019/5/21,8.007399042
2019/5/22,8.050023671
2019/5/23,8.037838801
2019/5/24,8.090786846
2019/5/25,8.111743319
2019/5/26,8.156478738
2019/5/27,8.170472488
2019/5/28,8.159375283
2019/5/29,8.150806029
2019/5/30,8.166612127
2019/5/31,8.171723982
2019/6/01,8.167970673
2019/6/02,7.911507748
2019/6/03,8.31307077
2019/6/04,8.257228334
2019/6/05,8.143767571
2019/6/06,7.980403435
2019/6/07,7.930908529
2019/6/08,7.977512981
2019/6/09,7.977598813
2019/6/10,7.954946144
2019/6/11,8.016096142
2019/6/12,8.094412399
2019/6/13,8.196288988
2019/6/14,8.15874832
2019/6/15,8.057690249
2019/6/16,7.949204712
2019/6/17,7.99144067
2019/6/18,7.98871523
2019/6/19,7.919434886
2019/6/20,7.842354474
2019/6/21,7.866950655
2019/6/22,7.951459508
2019/6/23,7.960764646
2019/6/24,7.862941838
2019/6/25,7.858238427
2019/6/26,7.975351502
2019/6/27,8.148434689
2019/6/28,8.15383106
2019/6/29,8.207725668
2019/6/30,8.281952795
2019/7/01,8.495655566
2019/7/02,8.619855449
2019/7/03,8.677252981
2019/7/04,8.563958082
2019/7/05,8.624242291
2019/7/06,8.633942098
2019/7/07,8.763949548
2019/7/08,8.83913549
2019/7/09,8.919407379
2019/7/10,8.942337678
2019/7/11,9.062481053
2019/7/12,9.202621188
2019/7/13,9.177141385
2019/7/14,9.039290215
2019/7/15,8.909591933
2019/7/16,8.8503581
2019/7/17,8.809760502
2019/7/18,8.823850753
2019/7/19,8.738576929
2019/7/20,8.702589449
2019/7/21,8.578338348
2019/7/22,8.469698355
2019/7/23,8.438782664
2019/7/24,8.455277346
2019/7/25,8.388740057
2019/7/26,8.357517708
2019/7/27,8.331516536
2019/7/28,8.493307369
2019/7/29,8.623545767
2019/7/30,8.71988975
2019/7/31,8.774908362
2019/8/01,8.879710585
2019/8/02,8.883012742
2019/8/03,9.049593596
2019/8/04,9.07842899
2019/8/05,9.169528694
2019/8/06,9.126114688
2019/8/07,9.358383175
2019/8/08,9.504564622
2019/8/09,9.678833736
2019/8/10,9.620895709
2019/8/11,9.615955976
2019/8/12,9.538157361
2019/8/13,9.597671198
2019/8/14,9.411266954
2019/8/15,9.300940909
2019/8/16,9.201122022
2019/8/17,9.265218231
2019/8/18,9.317161375
2019/8/19,9.348469462
2019/8/20,9.2999502
2019/8/21,9.226820624
2019/8/22,9.228112378
2019/8/23,9.264469413
2019/8/24,9.223543644
2019/8/25,9.167392547
2019/8/26,9.20845994
2019/8/27,9.285888589
2019/8/28,9.379195852
2019/8/29,9.346858467
2019/8/30,9.311341682
2019/8/31,9.378680028
2019/9/01,9.507821282
2019/9/02,9.556821905
2019/9/03,9.683710483
2019/9/04,9.801292855
2019/9/05,9.977426809
2019/9/06,10.09334741
2019/9/07,10.21651532
2019/9/08,10.28855452
2019/9/09,10.39903998
2019/9/10,10.39486766
2019/9/11,10.45174267
2019/9/12,10.57529072
2019/9/13,10.77827606
2019/9/14,10.88029967
2019/9/15,10.93574554
2019/9/16,11.12566696
2019/9/17,11.20263836
2019/9/18,11.31806352
2019/9/19,11.33325402
2019/9/20,11.41698901
2019/9/21,11.45238003
2019/9/22,11.59180866
2019/9/23,11.55546939
2019/9/24,11.64356394
2019/9/25,11.58291192
2019/9/26,11.49134209
2019/9/27,11.35616942
2019/9/28,11.36331916
2019/9/29,11.494303
2019/9/30,10.54300731
2019/10/01,10.49755606
2019/10/02,10.12934346
2019/10/03,10.13474565
2019/10/04,10.18395513
2019/10/05,10.09420331
2019/10/06,9.956123583
2019/10/07,9.878453737
2019/10/08,9.998698165
2019/10/09,10.53030511
2019/10/10,10.74260269
2019/10/11,10.80541142
2019/10/12,10.91923057
2019/10/13,11.03365911
2019/10/14,11.1022926
2019/10/15,11.13474733
2019/10/16,10.95161332
2019/10/17,10.83696859
2019/10/18,10.74487462
2019/10/19,10.73959588
2019/10/20,10.68416912
2019/10/21,10.68944786
2019/10/22,10.65425626
2019/10/23,10.78622475
2019/10/24,10.88933208
2019/10/25,11.039584
2019/10/26,11.30993351
2019/10/27,11.41813398
2019/10/28,11.37316818
2019/10/29,11.27255252
2019/10/30,11.18277167
2019/10/31,11.00470607
2019/11/01,10.88432473
